id	date	candidate	status	first_obstruction	certificate
F000	2026-08-01	Numerical boundedness at finitely many resolutions implies regularity	rejected	No uniform-in-cutoff analytic bound	PROOF_PLAN.md#acceptance-conditions-for-l4
F001	2026-08-01	A scale-invariant monomial E^a Z^b P^c closes the enstrophy inequality	rejected	Amplitude/scaling plus Young absorption forces the remaining Z power to be at least 3	proof/l2/l2-certificate.json
F002	2026-08-01	At fixed energy Q=D^4 Z has a cutoff-independent pointwise bound	rejected	Localized concentration and energy normalization give the exact growth exponent Q_lambda=lambda^2 Q	proof/l2/l2-certificate.json
F003	2026-08-01	The seven-point preliminary H4-cap sweep identifies a nonlocal power-law exponent	rejected	Longer K3 optimization raised the cap-100 objective by about 7.7x, so optimizer error dominates the fitted exponent	proof/l4/analysis/partitioned-critical-integrals/README.md
F004	2026-08-01	Dyadic separation and the low-advecting commutator alone close the far-tail L4.1a time integral	rejected	The exact shell gain is summable in the gap, but its fourth-power density still contains Z^2 while the energy identity controls only the time integral of Z	proof/l2/l2-certificate.json
F005	2026-08-01	Counting the O(log Z) local and transition bands closes the enstrophy inequality	rejected	After Young absorption the bound leaves Z^3 log(1+Z)^4; logarithmic band counting supplies no polynomial depletion and the energy identity controls only the time integral of Z	proof/l4/lemmas/transition-block/README.md
F006	2026-08-01	Homochiral local triads have identically zero enstrophy stretching	rejected	Pure positive- and negative-helicity divergence-free Fourier states have nonzero homochiral local stretching while the eight-sector reconstruction residual remains at roundoff	proof/l2/l2-certificate.json
F007	2026-08-01	The effective coherent squared-length signature count is sublinear in cutoff for arbitrary fixed-energy Fourier states	rejected	A 12-worker flat-spectrum search raises N_eff from 1.999 at K1 to 1748.62 at K6; the fitted finite-range log slope is 4.223, so the unrestricted algebraic claim fails the required adversarial screen	proof/l4/analysis/local-signature-adversary-K1-K6.json
F008	2026-08-01	The pointwise signed signature amplification satisfies A_sig=O(K^alpha) with alpha below 1/2 for arbitrary fixed-energy Fourier states	rejected	The exact analytic-gradient adversary raises A_sig to 4.59, 10.09, 19.65, 32.01, and 49.39 on K2--K6 with fitted slope 2.168; the gradient/central-difference relative error is 6.75e-13	proof/l4/analysis/local-signature-gradient-flat-K2-K6.json
F009	2026-08-01	The two factors A_sig^4 and R^2/(Z P^3) always move in opposite directions along Navier--Stokes trajectories	rejected	A 240-state K2--K6 one-step adversary finds 41 states with simultaneous positive factor growth; halving the RK4 probe step preserves every count	proof/l4/analysis/local-signature-coupled-integral/factor-adversary-K2-K6-dt5e-5.json
F010	2026-08-01	The coupled local critical density |V_local|^4/(Z P^3) is nonincreasing along every smooth Galerkin trajectory	rejected	An exact endpoint-difference adjoint finds positive growth at every cutoff K3--K6; the K6 increase is 1.13495104199e-6 and survives time-step halving with 2.49e-14 relative error	proof/l4/adversary/local-critical-increase-h4-cap100-K3-K6-multistart12-lbfgs8.json
