# exact-gradient local quartic closure adversary; cutoff=7; objective=closure-ratio; selection=local; objective_value=0.111111; constant_ratio=0.333333; candidate_lemma_proved=false
kx	ky	kz	ux_re	ux_im	uy_re	uy_im	uz_re	uz_im
-7	-7	-7	0	-0	0	-0	0	-0
-7	-7	-6	0	-0	0	-0	0	-0
-7	-7	-5	0	-0	0	-0	0	-0
-7	-7	-4	0	-0	0	-0	0	-0
-7	-7	-3	0	-0	0	-0	0	-0
-7	-7	-2	0	-0	0	-0	0	-0
-7	-7	-1	0	-0	0	-0	0	-0
-7	-7	0	0	-0	0	-0	0	-0
-7	-7	1	0	0	0	0	0	0
-7	-7	2	0	0	0	0	0	0
-7	-7	3	0	0	0	0	0	0
-7	-7	4	0	0	0	0	0	0
-7	-7	5	0	0	0	0	0	0
-7	-7	6	0	0	0	0	0	0
-7	-7	7	0	0	0	0	0	0
-7	-6	-7	0	-0	0	-0	0	-0
-7	-6	-6	0	-0	0	-0	0	-0
-7	-6	-5	0	-0	0	-0	0	-0
-7	-6	-4	0	-0	0	-0	0	-0
-7	-6	-3	0	-0	0	-0	0	-0
-7	-6	-2	0	-0	0	-0	0	-0
-7	-6	-1	0	-0	0	-0	0	-0
-7	-6	0	0	-0	0	-0	0	-0
-7	-6	1	0	0	0	0	0	0
-7	-6	2	0	0	0	0	0	0
-7	-6	3	0	0	0	0	0	0
-7	-6	4	0	0	0	0	0	0
-7	-6	5	0	0	0	0	0	0
-7	-6	6	0	0	0	0	0	0
-7	-6	7	0	0	0	0	0	0
-7	-5	-7	0	-0	0	-0	0	-0
-7	-5	-6	0	-0	0	-0	0	-0
-7	-5	-5	0	-0	0	-0	0	-0
-7	-5	-4	0	-0	0	-0	0	-0
-7	-5	-3	0	-0	0	-0	0	-0
-7	-5	-2	0	-0	0	-0	0	-0
-7	-5	-1	0	-0	0	-0	0	-0
-7	-5	0	0	-0	0	-0	0	-0
-7	-5	1	0	0	0	0	0	0
-7	-5	2	0	0	0	0	0	0
-7	-5	3	0	0	0	0	0	0
-7	-5	4	0	0	0	0	0	0
-7	-5	5	0	0	0	0	0	0
-7	-5	6	0	0	0	0	0	0
-7	-5	7	0	0	0	0	0	0
-7	-4	-7	0	-0	0	-0	0	-0
-7	-4	-6	0	-0	0	-0	0	-0
-7	-4	-5	0	-0	0	-0	0	-0
-7	-4	-4	0	-0	0	-0	0	-0
-7	-4	-3	0	-0	0	-0	0	-0
-7	-4	-2	0	-0	0	-0	0	-0
-7	-4	-1	0	-0	0	-0	0	-0
-7	-4	0	0	-0	0	-0	0	-0
-7	-4	1	0	0	0	0	0	0
-7	-4	2	0	0	0	0	0	0
-7	-4	3	0	0	0	0	0	0
-7	-4	4	0	0	0	0	0	0
-7	-4	5	0	0	0	0	0	0
-7	-4	6	0	0	0	0	0	0
-7	-4	7	0	0	0	0	0	0
-7	-3	-7	0	-0	0	-0	0	-0
-7	-3	-6	0	-0	0	-0	0	-0
-7	-3	-5	0	-0	0	-0	0	-0
-7	-3	-4	0	-0	0	-0	0	-0
-7	-3	-3	0	-0	0	-0	0	-0
-7	-3	-2	0	-0	0	-0	0	-0
-7	-3	-1	0	-0	0	-0	0	-0
-7	-3	0	0	-0	0	-0	0	-0
-7	-3	1	0	0	0	0	0	0
-7	-3	2	0	0	0	0	0	0
-7	-3	3	0	0	0	0	0	0
-7	-3	4	0	0	0	0	0	0
-7	-3	5	0	0	0	0	0	0
-7	-3	6	0	0	0	0	0	0
-7	-3	7	0	0	0	0	0	0
-7	-2	-7	0	-0	0	-0	0	-0
-7	-2	-6	0	-0	0	-0	0	-0
-7	-2	-5	0	-0	0	-0	0	-0
-7	-2	-4	0	-0	0	-0	0	-0
-7	-2	-3	0	-0	0	-0	0	-0
-7	-2	-2	0	-0	0	-0	0	-0
-7	-2	-1	0	-0	0	-0	0	-0
-7	-2	0	0	-0	0	-0	0	-0
-7	-2	1	0	0	0	0	0	0
-7	-2	2	0	0	0	0	0	0
-7	-2	3	0	0	0	0	0	0
-7	-2	4	0	0	0	0	0	0
-7	-2	5	0	0	0	0	0	0
-7	-2	6	0	0	0	0	0	0
-7	-2	7	0	0	0	0	0	0
-7	-1	-7	0	-0	0	-0	0	-0
-7	-1	-6	0	-0	0	-0	0	-0
-7	-1	-5	0	-0	0	-0	0	-0
-7	-1	-4	0	-0	0	-0	0	-0
-7	-1	-3	0	-0	0	-0	0	-0
-7	-1	-2	0	-0	0	-0	0	-0
-7	-1	-1	0	-0	0	-0	0	-0
-7	-1	0	0	-0	0	-0	0	-0
-7	-1	1	0	0	0	0	0	0
-7	-1	2	0	0	0	0	0	0
-7	-1	3	0	0	0	0	0	0
-7	-1	4	0	0	0	0	0	0
-7	-1	5	0	0	0	0	0	0
-7	-1	6	0	0	0	0	0	0
-7	-1	7	0	0	0	0	0	0
-7	0	-7	0	-0	0	-0	0	-0
-7	0	-6	0	-0	0	-0	0	-0
-7	0	-5	0	-0	0	-0	0	-0
-7	0	-4	0	-0	0	-0	0	-0
-7	0	-3	0	-0	0	-0	0	-0
-7	0	-2	0	-0	0	-0	0	-0
-7	0	-1	0	-0	0	-0	0	-0
-7	0	0	0	-0	0	-0	0	-0
-7	0	1	0	0	0	0	0	0
-7	0	2	0	0	0	0	0	0
